Date,Scan,Assessment,Session,Subject,Hours,Instruction,Pieces,Success,Comments
3/6/15,,3,,7,,,,,
3/11/15,,,25,7,3,1,,3,Breaking lots of pieces in half.
3/12/15,,,27,7,3,"1,2",,3,"Making small, well-shaped pieces."
3/17/15,,,29,7,3,1,,3,Getting some good small pieces but still having problems breaking bits in half. 
3/21/15,,,34,7,2,1,,3,Making small thin pieces.
3/21/15,,4,,7,,,,,
3/26/15,,,38,7,3,1,,3,Making good small pieces but having problems with the larger rocks.
3/27/15,,,39,7,3,1,,4,Generally good small pieces - problems with aim.
4/3/15,,,46,7,3,1,,3,Making small pieces.
4/4/15,,,47,7,1,1,,3,Good session - success working thin pieces.
4/4/15,,5,,7,,,,,
4/10/15,2,,,7,,,,,
4/30/15,,,59,7,3,1,,3,Good 1st session back after 2 weeks.
5/2/15,,,63,7,3,0,,4,Managing to make bigger pieces with thte obsidian.
5/4/15,,,65,7,3,0,,4,"Generally very good, needs more preparation."
5/6/15,,,68,7,3,0,,4,Pretty good - problems with symmetry.
5/7/15,,,70,7,3,0,,4,Generally good. 
5/12/15,,,71,7,3,0,,4,Generally very good.  
5/12/15,,,72,7,2.5,0,,4,Generally good but breaking some pieces in half. 
5/27/15,,,87,7,3,0,4,3,Getting used to working with flint again.
6/3/15,,,93,7,0.5,0,1,,Session abandonned due to rain.
6/4/15,,,94,7,3,0,,4,"Generally very good, some problems with material challenges"
6/6/15,,,95,7,3,0,,4,"Getting very good, some problems with material challenges."
6/19/15,,,98,7,3,1,5,3,Making some good small pieces - more problems with bigger chunks.
6/26/15,,,101,7,2,0,,4,Generally good. 
6/26/15,,8,,7,,,,,
7/1/15,,,102,7,3,1,,4,"Generally good, some problems dealing with material challenges."
7/1/15,,,103,7,2,0,,4,Generally very good.
7/7/15,,,104,7,3,0,,4,Generally very good.
7/7/15,,,105,7,1,0,,4,Generally very good.
7/8/15,3,,,7,,,,,
7/8/15,,9,,7,,,,,
2/26/15,1,,,8,,,,,
3/10/15,,1,,8,,,,,
3/11/15,,,26,8,2,"1,2",NA,NA,"First session, flaking demo and practice."
3/18/15,,,31,8,3,"1,3",3,2,Problems thinning. Received handaxe demo.
3/24/15,,,35,8,3,"1,3",,2,"Problems with thinning, needs to hit harder."
3/31/15,,,41,8,3,1,,2,Problems establishing the edge.
4/2/15,,,44,8,2,1,,2,Needs assistance with platform preparation.
4/3/15,,2,,8,,,,,
4/4/15,,,47,8,3,1,,4,Platform prepation instruction helped.
4/21/15,,,52,8,2,1,4,3,Getting better at shaping but problems due to material constraints.
4/24/15,,,57,8,3,1,,3,Getting good at working thin pieces. More probs with thick pieces. 
4/30/15,,,60,8,3,1,,3,Getting better - still some problems with the bifacial plane.
5/2/15,,,63,8,3,0,,3,ok
5/2/15,,,64,8,3,0,,3,Getting much better using the obsidian.
5/5/15,,,66,8,3,1,,3,"Pretty good, needs more work on thinning."
5/20/15,,,82,8,3,1,4,2.5,Getting better but needs work on turning the edge
5/24/15,,,84,8,3,0,,3,Problems setting up the bifacial plane.
5/24/15,,,85,8,3,0,,3,Problems with the bifacial plane.
5/30/15,,,90,8,3,1,4,3,Still making plano-convex pieces.
5/30/15,,,91,8,1,,,,
5/30/15,,,92,8,1,0,,3.5,"Ok, some problems with angles and bifacial plane."
5/30/15,,5,,8,,,,,
6/15/15,2,,,8,,,,,
6/20/15,,,99,8,2,,,,
1/21/15,1,,,9,,,,,
2/4/15,,1,,9,,,,,
2/11/15,,,9,9,2,"1,2",NA,3,First Session - flaking and retouch
2/28/15,,,18,9,3,"1,2",,2,"Ok at flaking, first handaxe demo. Problems with thinning."
3/4/15,,,21,9,3,1,,2,Problems visualising necessary removals for thinning.
3/7/15,,,24,9,3,1,,3,Got concept of making the edge bifacially.
3/11/15,,,26,9,2,1,,2,Still probs with snapping pieces in half.
3/11/15,,2,,9,,,,,
3/18/15,,,31,9,3,1,,2,Problems judging where to hit.
3/20/15,,,33,9,1,1,2,2,Some problems with thinning but getting better.
4/1/15,,,43,9,3,1,,2,Some ok pieces but having problems thinning.
4/4/15,,,48,9,2,1,,2,Problems breaking pieces in half.
4/4/15,,3,,9,,,,,
4/11/15,,,51,9,3,1,,2,Still having problems combining thinning and shaping.
4/22/15,,,54,9,2.5,1,,2,Still having problems thinning.
5/2/15,,,63,9,3,0,,3,Having some success with the obsidian but some problems thinning.
5/6/15,,,68,9,3,0,,4,Prety good - breaking some pieces in half. 
5/13/15,,,73,9,3,1,6,3,Still having problems thining - making small pieces.
5/16/15,,,77,9,3,1,6,3.5,"Getting better pieces, needs a bit more refinement."
5/16/15,,,78,9,3,1,6,3,"Getting better, some problems with thinning."
5/24/15,,,84,9,2,0,,3,Over preparing edges.
5/24/15,,,85,9,3,0,,4,Ok - doing a lot of platform preparation.
5/24/15,,5,,9,,,,,
6/26/15,,,101,9,3,0,,3,Getting back into it after a gap in practice.
7/1/15,2,,,9,,,,,
7/8/15,,,106,9,3,,,,
8/12/15,,,107,9,3,0,3,3,Generally good knapping after a couple of weeks off.
8/15/15,,,110,9,3,1,,3,"Ok, needs some work on shaping."
8/22/15,,,114,9,3,0,,3,Generally good - still needs work on platform preparation.
8/29/15,,,120,9,2,1,6,4,Getting much better - beginning to make larger pieces.
8/29/15,,6,,9,,,,,
9/2/15,,,122,9,3,1,6,3,Some problems with setting up the bifacial plane
9/9/15,,,124,9,3,1,,4,Making some nice pieces but very variable work.
9/16/15,,,129,9,2,0,,3,Having a bad day.
9/16/15,,7,,9,,,,,
9/19/15,,,132,9,3,,,,
9/24/15,,,135,9,3,,,,
9/30/15,,,136,9,2,0,,2,Generally good - some problems with inclusions.
9/30/15,,8,,9,,,,,
10/7/15,,,140,9,3,1,,3.5,Generally good. 
10/10/15,,,145,9,3,1,,4,Problems working with chunky pieces - otherwise good.
10/14/15,,,148,9,2.5,0,,3,Some problems breaking pieces in half. 
10/17/15,,,150,9,2,1,,4,Some problems working chunky pieces.
10/17/15,,9,,9,,,,,
10/21/15,3,,,9,,,,,
1/23/15,1,,,10,,,,,
2/4/15,,1,,10,,,,,
2/12/15,,,10,10,3,"1,2",3,2,"First session, flaking and handaxe demo and retouch. Good at flaking and shaping, needs more work on thinning."
2/15/15,,,12,10,3,1,,2,Breaking pieces in half a lot and problems thinning.
2/27/15,,,16,10,3,1,,2,Problems with stacks.
2/27/15,,,17,10,2,1,2,3,Getting good at thinning
2/27/15,,2,,10,,,,,
3/6/15,,,22,10,3,1,,2,Startedoff struggling but produced good pieces after that.
3/6/15,,,23,10,3,1,,4,Problems with a chunky piece but otherwise good.
3/20/15,,,32,10,3,1,3,4,Pretty good - making nice small pieces.
3/21/15,,,34,10,2,1,,3,Pretty good.  
3/21/15,,3,,10,,,,,
3/24/15,,,35,10,3,1,,3,Some problems with symmetry but bad pieces caused problems.
3/26/15,,,37,10,3,1,,3,Problems with breaking things in half.
3/27/15,,,39,10,3,1,,3,Generally good. 
3/28/15,,,40,10,2,1,,3,Good at working small thin pieces.
3/28/15,,4,,10,,,,,
3/28/15,3,,,10,,,,,
3/31/15,,,41,10,3,1,,3,Pretty good - some problems dealing with the material challenges.
4/2/15,,,44,10,3,1,,3.5,Having problems with material challenges.
4/3/15,,,45,10,3,"1,2",,3,Working small pieces well.
4/3/15,,,46,10,1,1,,3,Pretty good.
4/3/15,,5,,10,,,,,
4/19/15,2,,,10,,,,,
4/23/15,,,55,10,3,0,,3,Working small pieces well.
4/24/15,,,56,10,3,0,,4,Good - getting nice symmetrical pieces.
4/24/15,,,57,10,3,1,,4,Very good - getting hang of working with different materials. 
4/28/15,,,58,10,3,1,,4,Getting very good at making symetrical pieces.
4/30/15,,,60,10,3,0,,4,Very good - working on symmetry and making quite large pieces.
5/1/15,,,61,10,3,,,,
5/1/15,,,62,10,3,0,,5,Getting very good at work with obsidian. More problems with flint.
5/2/15,,,63,10,3,0,,4,Generally very good. 
5/2/15,,,64,10,3,0,,5,Very good.
5/4/15,,,65,10,3,0,,5,Excellent.
5/5/15,,,66,10,3,0,,5,Excellent.
5/7/15,,,69,10,3,0,,5,Excellent.
5/7/15,,,70,10,2,0,,4,Working with flint and obsidian - having more problems with flint but making some nice small pieces. 
5/7/15,,9,,10,,,,,
6/10/15,1,,,11,,,,,
8/22/15,,,114,11,2,"1,2",NA,3,"First session, introduction to flaking."
8/22/15,,,115,11,1,"1,2",3,3,"Scraper making, ok needs some work on striking angle."
8/22/15,,1,,11,,,,,
8/27/15,,,119,11,3,"1,2",6,1,First session handaxe demonstration and practice.
9/12/15,,,127,11,3,1,,2,Needs work on strategy and platforms.
9/17/15,,,130,11,3,1,,2,Needs work on strategy.
9/17/15,,2,,11,,,,,
9/19/15,,,132,11,3,,,,
10/8/15,,,142,11,3,1,,2,Some problems with thinning. 
10/10/15,,,145,11,3,1,,3,Getting better - making lots of steps.
10/15/15,,,149,11,2,1,4,3,Making good pieces when core is thin but having more problems thinning thick pieces.
10/17/15,,,150,11,1.5,1,,3,Working out how to thin.
10/17/15,,3,,11,,,,,
10/22/15,,,151,11,2.5,1,,3,Getting better.
10/24/15,,,154,11,3,1,,3,Problems with material challenges.
10/29/15,,,155,11,3,1,,3,Ok but making elongated pieces.
10/31/15,,,157,11,3,1,,3,Generally good - some problems breaking pieces in half. 
11/22/15,,,164,11,3,1,6,3,Problems thinning - won't raise bifacial plane.
11/22/15,,,165,11,3,1,,3,Problems thinning.
11/22/15,,4,,11,,,,,
12/5/15,,,172,11,2,,,3,Still having difficulty setting up bifacial plane. 
12/5/15,,5,,11,,,,,
1/11/16,2,,,11,,,,,
2/6/16,,,201,11,3,1,,4,Pretty good after a gap.
3/5/16,,,216,11,3,1,,3,"Ok, needs work on preparation."
3/6/16,,,218,11,3,1,6,3,Problems thinning.
3/12/16,,,223,11,3,1,,3,OK
3/26/16,,,230,11,2,1,,3,Ok- needs more preparation.
3/26/16,,6,,11,,,,,
4/16/16,,,242,11,3,1,4,3,Pretty good - some problems dealing with material challenges.
4/23/16,,,248,11,3,1,5,3,Problems following instructions.
5/1/16,,,253,11,2,1,,3,Problems with thinning.
5/1/16,,,254,11,3,0,,3,Ok problems dealing with material challenges.
5/1/16,,7,,11,,,,,
5/7/16,,,259,11,3,1,,3,Problems following instructions.
5/15/16,,,265,11,3,1,,3,Problems following instructions.
5/15/16,,,266,11,2,1,,3,Needs more platform preparation.
5/15/16,,8,,11,,,,,
5/21/16,,,271,11,3,"1,3",4,3,Will not follow instructions.
6/12/16,,,278,11,3,1,,3,"Some ok pieces, still problems following instructions."
6/18/16,,,279,11,3,1,5,3,Problems thinning. 
6/24/16,,9,,11,,,,,
7/7/16,3,,,11,,,,,
9/2/15,1,,,12,,,,,
10/15/15,,1,,12,,,,,
10/26/15,1,,,13,,,,,
10/31/15,,1,,13,,,,,
11/14/15,,,162,13,3,,,,
11/21/15,,,163,13,2,"1,2",,4,First session of handaxe making - very good at thinning.
11/22/15,,,165,13,3,1,,3,Some problems dealing with larger chunks. 
1/14/16,,,187,13,3,1,,2,Making very lumpy pieces - needs work on platform preparation.
1/29/16,,,195,13,2,1,,2,Some problems with preparation and platform angles.
1/29/16,,2,,13,,,,,
1/30/16,,,196,13,2,1,,2,Some problems thinning
2/2/16,,,197,13,2,"1,2",,3,Pretty good - getting better at thinning.
2/5/16,,,199,13,3,1,,3,"Getting better at thinning, still making lumpy pieces."
2/11/16,,3,,13,,,,,
2/13/16,,,204,13,2,1,6,3,"Getting better, needs more preparation."
3/17/16,,,226,13,2,1,,4,Good for a 2 week gap.
3/26/16,,,230,13,3,0,,2,Generally good. 
4/1/16,,,233,13,3,1,,3,Still needs more platform preparation.
4/3/16,,,234,13,3,1,6,3,Getting better but problems dealing with the material challenges.
4/15/16,,,241,13,3,1,,4,Really good pieces today.
4/21/16,,,245,13,1,1,3,3,Pretty good but problems dealing with the material challenges.
4/21/16,,4,,13,,,,,
4/29/16,,,252,13,3,1,,4,Tired - working small pieces mainly.
5/1/16,,,254,13,2,1,,3,Ok problems dealing with material challenges.
5/1/16,,5,,13,,,,,
5/2/16,2,,,13,,,,,
8/13/15,1,,,14,,,,,
8/20/15,,1,,14,,,,,
8/26/15,,,117,14,2,"1,2",NA,3,First session - flaking and scrapers.
8/27/15,,,119,14,3,"1,2",6,1,First session handaxe demonstration and practice.
9/3/15,,,123,14,3,"1,2",6,2,Getting used to the material.
9/9/15,,,124,14,3,1,,2,Needs help with preparation.
9/16/15,,,129,14,2,1,,2,Hitting too hard and needs more work on platform preparation.
9/16/15,,2,,14,,,,,
9/23/15,,,134,14,3,1,6,2.5,Making some ok small pieces but problems with strategy.
9/30/15,,,136,14,3,1,,3,Getting better - needs more preparation.
10/7/15,,,140,14,3,1,,3,Getting better - making very small pieces. 
10/9/15,,,143,14,3,1,6,3,Getting better - still having problems with thinning.
10/14/15,,,148,14,2,1,,3,Getting practice with antler.
10/14/15,,3,,14,,,,,
10/23/15,,,152,14,3,1,,3,Ok at making small pieces.
10/30/15,,,156,14,3,1,5,3,Focussing on small pieces rather than trying to work large ones.
10/31/15,,,157,14,3,1,,3,Still making very small pieces.
11/4/15,,,158,14,2,,,,
11/4/15,,4,,14,,,,,
11/11/15,,,160,14,2,0,,3,Problems with platform preparation and angles.
11/24/15,,,166,14,3,1,3,3,Practicing with the antler ok.
11/25/15,,,167,14,2,,,,
11/25/15,,5,,14,,,,,
12/2/15,2,,,14,,,,,
12/11/15,,,176,14,3,1,,3,Continually working small pieces. Hitting too hard.
12/16/15,,,180,14,3,"1,3",,2,Problems with platform preparation and adjusting angles. 
1/14/16,,,187,14,3,1,,3,Ok at small bits but not good at large.
1/26/16,,,192,14,2,1,4,4,Getting better - making very small pieces but thin.
1/26/16,,6,,14,,,,,
2/2/16,,,197,14,3,1,,4,Nice work on small pieces - more problems on big.
3/1/16,,,212,14,3,1,3,4,Nice piece made towards the end of the session
3/10/16,,,220,14,3,1,,3,Ok - still focussing on small pieces.
3/16/16,,,225,14,2,1,,4,Getting better - needs more preparation.
3/16/16,,7,,14,,,,,
3/23/16,,,227,14,3,1,,4,Good work with the antler.
3/30/16,,,231,14,3,1,,4,"Can work small pieces well, more problems with big."
4/6/16,,,236,14,3,1,,3,"Ok with small pieces, reluctant to work on larger pieces."
4/20/16,,,243,14,2,0,,4,Ok - still working mainly small pieces.
4/20/16,,8,,14,,,,,
5/4/16,,,256,14,3,1,,3,Still prefering to work on small pieces.
5/18/16,,,268,14,3,1,5,3,Problems with aim.
6/1/16,,,275,14,3,1,,4,"Ok, some problems shaping."
6/9/16,,9,,14,,,,,
7/12/16,3,,,14,,,,,
8/31/15,1,,,15,,,,,
